run	arm	rep	tick	abs_tick	unit	species	report	year	time	text
20260917-195259	migrants_now_lever	1	23518	829918	139	WOMBAT	2	2	21890	The wolf attacks the wombat but He jumps away!
20260917-195259	migrants_now_lever	1	23518	829918	139	WOMBAT	3	2	21890	The wolf misses the wombat!
20260917-195259	migrants_now_lever	1	23518	829918	139	WOMBAT	4	2	21892	The wolf misses the wombat!
20260917-195259	migrants_now_lever	1	23518	829918	139	WOMBAT	5	2	21893	The wolf misses the wombat!
20260917-195259	migrants_now_lever	1	23518	829918	139	WOMBAT	6	2	21894	The wolf misses the wombat!
20260917-195259	migrants_now_lever	1	23518	829918	139	WOMBAT	7	2	21898	The wolf attacks the wombat but He jumps away!
20260917-195259	migrants_now_lever	1	23518	829918	139	WOMBAT	8	2	21899	The wolf misses the wombat!
20260917-195259	migrants_now_lever	1	23518	829918	139	WOMBAT	9	2	21900	The wolf misses the wombat!
20260917-195259	migrants_now_lever	1	23518	829918	139	WOMBAT	10	2	21901	The wolf bites the wombat in the left rear leg, tearing the fat!
20260917-195259	migrants_now_lever	1	23518	829918	139	WOMBAT	11	2	21904	The wolf attacks the wombat but He jumps away!
20260917-195259	migrants_now_lever	1	23518	829918	139	WOMBAT	12	2	21907	The wolf attacks the wombat but He jumps away!
20260917-195259	migrants_now_lever	1	23518	829918	139	WOMBAT	13	2	21912	The wolf bites the wombat in the left front paw, tearing the skin!
20260917-195259	migrants_now_lever	1	23518	829918	139	WOMBAT	14	2	21916	The wolf misses the wombat!
20260917-195259	migrants_now_lever	1	23518	829918	139	WOMBAT	15	2	21918	The wolf attacks the wombat but He jumps away!
20260917-195259	migrants_now_lever	1	23518	829918	139	WOMBAT	17	2	21936	The wolf misses the wombat!
20260917-195259	migrants_now_lever	1	23518	829918	139	WOMBAT	21	2	22036	The wolf misses the wombat!
20260917-195259	migrants_now_lever	1	23518	829918	139	WOMBAT	23	2	22182	The wolf misses the wombat!
20260917-195259	migrants_now_lever	1	23518	829918	139	WOMBAT	24	2	22305	The wolf bites the wombat in the tail, tearing the fat!
20260917-195259	migrants_now_lever	1	23518	829918	139	WOMBAT	25	2	22305	The wombat has become enraged!
20260917-195259	migrants_now_lever	1	23518	829918	139	WOMBAT	26	2	22311	The wolf bites the wombat in the right rear paw, tearing the muscle!
20260917-195259	migrants_now_lever	1	23518	829918	139	WOMBAT	27	2	22311	The wolf latches on firmly!
20260917-195259	migrants_now_lever	1	23518	829918	139	WOMBAT	28	2	22314	The wombat bites the wolf in the left front leg, tearing the muscle!
20260917-195259	migrants_now_lever	1	23518	829918	139	WOMBAT	29	2	22315	The wombat breaks the grip of The wolf's teeth on the wombat's right rear paw.
20260917-195259	migrants_now_lever	1	23518	829918	139	WOMBAT	30	2	22320	The wolf bites the wombat in the upper body, tearing the fat!
20260917-195259	migrants_now_lever	1	23518	829918	139	WOMBAT	31	2	22321	The wombat attacks the wolf but She jumps away!
20260917-195259	migrants_now_lever	1	23518	829918	139	WOMBAT	32	2	22331	The wombat misses the wolf!
20260917-195259	migrants_now_lever	1	23518	829918	139	WOMBAT	33	2	22332	The wolf bites the wombat in the lower body, tearing the fat!
20260917-195259	migrants_now_lever	1	23518	829918	139	WOMBAT	34	2	22338	The wombat attacks the wolf but She jumps away!
20260917-195259	migrants_now_lever	1	23518	829918	139	WOMBAT	35	2	22341	The wolf scratches the wombat in the lower body, tearing the fat and bruising the muscle and bruising the guts!
20260917-195259	migrants_now_lever	1	23518	829918	139	WOMBAT	36	2	22345	The wombat attacks the wolf but She jumps away!
20260917-195259	migrants_now_lever	1	23518	829918	139	WOMBAT	37	2	22353	The wombat bites the wolf in the left front paw, tearing the muscle!
20260917-195259	migrants_now_lever	1	23518	829918	139	WOMBAT	38	2	22353	An artery has been opened by the attack!
20260917-195259	migrants_now_lever	1	23518	829918	139	WOMBAT	39	2	22353	The wolf bites the wombat in the lower body, tearing the fat and bruising the muscle and bruising the stomach!
20260917-195259	migrants_now_lever	1	23518	829918	139	WOMBAT	40	2	22360	The wombat misses the wolf!
20260917-195259	migrants_now_lever	1	23518	829918	139	WOMBAT	41	2	22367	The wombat attacks the wolf but She jumps away!
20260917-195259	migrants_now_lever	1	23518	829918	139	WOMBAT	42	2	22391	The wombat attacks the wolf but She jumps away!
20260917-195259	migrants_now_lever	1	23518	829918	139	WOMBAT	43	2	22415	The wombat misses the wolf!
20260917-195259	migrants_now_lever	1	23518	829918	139	WOMBAT	44	2	22512	The wombat misses the wolf!
20260917-195259	migrants_now_lever	1	23518	829918	139	WOMBAT	45	2	22524	The wombat misses the wolf!
20260917-195259	migrants_now_lever	1	23518	829918	139	WOMBAT	46	2	22524	The wolf bites the wombat in the left front paw, tearing the fat!
20260917-195259	migrants_now_lever	1	23518	829918	139	WOMBAT	47	2	22531	The wombat attacks the wolf but He jumps away!
20260917-195259	migrants_now_lever	1	23518	829918	139	WOMBAT	48	2	22540	The wombat attacks the wolf but He jumps away!
20260917-195259	migrants_now_lever	1	23518	829918	139	WOMBAT	49	2	22543	The wolf bites the wombat in the lower body, tearing the fat and bruising the muscle and bruising the spleen!
20260917-195259	migrants_now_lever	1	23518	829918	139	WOMBAT	50	2	22543	The wolf latches on firmly!
20260917-195259	migrants_now_lever	1	23518	829918	139	WOMBAT	51	2	22547	The wombat bites the wolf in the lower body, tearing the fat!
20260917-195259	migrants_now_lever	1	23518	829918	139	WOMBAT	52	2	22549	The wombat breaks the grip of The wolf's teeth on the wombat's lower body.
20260917-195259	migrants_now_lever	1	23518	829918	139	WOMBAT	53	2	22552	The wolf bites the wombat in the left rear paw, tearing the fat!
20260917-195259	migrants_now_lever	1	23518	829918	139	WOMBAT	54	2	22554	The wombat attacks the wolf but He jumps away!
20260917-195259	migrants_now_lever	1	23518	829918	139	WOMBAT	55	2	22565	The wombat misses the wolf!
20260917-195259	migrants_now_lever	1	23518	829918	139	WOMBAT	56	2	22565	The wolf misses the wombat!
20260917-195259	migrants_now_lever	1	23518	829918	139	WOMBAT	57	2	22572	The wombat attacks the wolf but He jumps away!
20260917-195259	migrants_now_lever	1	23518	829918	139	WOMBAT	58	2	22575	The wolf bites the wombat in the lower body, tearing the fat and bruising the muscle!
20260917-195259	migrants_now_lever	1	23518	829918	139	WOMBAT	59	2	22575	The wolf latches on firmly!
20260917-195259	migrants_now_lever	1	23518	829918	139	WOMBAT	60	2	22579	The wombat bites the wolf in the upper body, tearing the fat!
20260917-195259	migrants_now_lever	1	23518	829918	139	WOMBAT	61	2	22582	The wolf bites the wombat in the lower body, tearing the fat!
20260917-195259	migrants_now_lever	1	23518	829918	139	WOMBAT	62	2	22584	The wolf charges at the wombat!
20260917-195259	migrants_now_lever	1	23518	829918	139	WOMBAT	63	2	22584	The wolf collides with the wombat!
20260917-195259	migrants_now_lever	1	23518	829918	139	WOMBAT	64	2	22584	The wombat is knocked over!
20260917-195259	migrants_now_lever	1	23518	829918	139	WOMBAT	65	2	22586	The wombat bites the wolf in the upper body, tearing the fat!
20260917-195259	migrants_now_lever	1	23518	829918	139	WOMBAT	66	2	22587	The wolf shakes the wombat around by the lower body, tearing apart the lower body's skin and tearing apart the lower spine's nervous tissue!
20260917-195259	migrants_now_lever	1	23518	829918	139	WOMBAT	67	2	22587	A tendon in the lower spine has been torn!
20260917-195259	migrants_now_lever	1	23518	829918	139	WOMBAT	68	2	22589	The wolf shakes the wombat around by the lower body, tearing apart the lower body's skin and tearing apart the lower spine's nervous tissue!
20260917-195259	migrants_now_lever	1	23518	829918	139	WOMBAT	69	2	22589	A tendon in the lower spine has been torn!
20260917-195259	migrants_now_lever	1	23518	829918	139	WOMBAT	70	2	22593	The wombat attacks the wolf but He jumps away!
20260917-195259	migrants_now_lever	1	23518	829918	139	WOMBAT	71	2	22600	The wombat misses the wolf!
20260917-195259	migrants_now_lever	1	23518	829918	139	WOMBAT	72	2	22878	Wombat is no longer enraged.
20260917-195259	migrants_now_lever	1	23518	829918	160	WOLF	4	2	21892	The wolf misses the wombat!
20260917-195259	migrants_now_lever	1	23518	829918	160	WOLF	7	2	21898	The wolf attacks the wombat but He jumps away!
20260917-195259	migrants_now_lever	1	23518	829918	160	WOLF	21	2	22036	The wolf misses the wombat!
20260917-195259	migrants_now_lever	1	23518	829918	160	WOLF	23	2	22182	The wolf misses the wombat!
20260917-195259	migrants_now_lever	1	23518	829918	160	WOLF	24	2	22305	The wolf bites the wombat in the tail, tearing the fat!
20260917-195259	migrants_now_lever	1	23518	829918	160	WOLF	26	2	22311	The wolf bites the wombat in the right rear paw, tearing the muscle!
20260917-195259	migrants_now_lever	1	23518	829918	160	WOLF	27	2	22311	The wolf latches on firmly!
20260917-195259	migrants_now_lever	1	23518	829918	160	WOLF	28	2	22314	The wombat bites the wolf in the left front leg, tearing the muscle!
20260917-195259	migrants_now_lever	1	23518	829918	160	WOLF	29	2	22315	The wombat breaks the grip of The wolf's teeth on the wombat's right rear paw.
20260917-195259	migrants_now_lever	1	23518	829918	160	WOLF	30	2	22320	The wolf bites the wombat in the upper body, tearing the fat!
20260917-195259	migrants_now_lever	1	23518	829918	160	WOLF	31	2	22321	The wombat attacks the wolf but She jumps away!
20260917-195259	migrants_now_lever	1	23518	829918	160	WOLF	32	2	22331	The wombat misses the wolf!
20260917-195259	migrants_now_lever	1	23518	829918	160	WOLF	33	2	22332	The wolf bites the wombat in the lower body, tearing the fat!
20260917-195259	migrants_now_lever	1	23518	829918	160	WOLF	34	2	22338	The wombat attacks the wolf but She jumps away!
20260917-195259	migrants_now_lever	1	23518	829918	160	WOLF	35	2	22341	The wolf scratches the wombat in the lower body, tearing the fat and bruising the muscle and bruising the guts!
20260917-195259	migrants_now_lever	1	23518	829918	160	WOLF	36	2	22345	The wombat attacks the wolf but She jumps away!
20260917-195259	migrants_now_lever	1	23518	829918	160	WOLF	37	2	22353	The wombat bites the wolf in the left front paw, tearing the muscle!
20260917-195259	migrants_now_lever	1	23518	829918	160	WOLF	38	2	22353	An artery has been opened by the attack!
20260917-195259	migrants_now_lever	1	23518	829918	160	WOLF	39	2	22353	The wolf bites the wombat in the lower body, tearing the fat and bruising the muscle and bruising the stomach!
20260917-195259	migrants_now_lever	1	23518	829918	160	WOLF	40	2	22360	The wombat misses the wolf!
20260917-195259	migrants_now_lever	1	23518	829918	160	WOLF	41	2	22367	The wombat attacks the wolf but She jumps away!
20260917-195259	migrants_now_lever	1	23518	829918	160	WOLF	42	2	22391	The wombat attacks the wolf but She jumps away!
20260917-195259	migrants_now_lever	1	23518	829918	160	WOLF	43	2	22415	The wombat misses the wolf!
20260917-195259	migrants_now_lever	1	23518	829918	160	WOLF	44	2	22512	The wombat misses the wolf!
20260917-195259	migrants_now_lever	1	23518	829918	161	WOLF	45	2	22524	The wombat misses the wolf!
20260917-195259	migrants_now_lever	1	23518	829918	161	WOLF	46	2	22524	The wolf bites the wombat in the left front paw, tearing the fat!
20260917-195259	migrants_now_lever	1	23518	829918	161	WOLF	47	2	22531	The wombat attacks the wolf but He jumps away!
20260917-195259	migrants_now_lever	1	23518	829918	161	WOLF	48	2	22540	The wombat attacks the wolf but He jumps away!
20260917-195259	migrants_now_lever	1	23518	829918	161	WOLF	49	2	22543	The wolf bites the wombat in the lower body, tearing the fat and bruising the muscle and bruising the spleen!
20260917-195259	migrants_now_lever	1	23518	829918	161	WOLF	50	2	22543	The wolf latches on firmly!
20260917-195259	migrants_now_lever	1	23518	829918	161	WOLF	51	2	22547	The wombat bites the wolf in the lower body, tearing the fat!
20260917-195259	migrants_now_lever	1	23518	829918	161	WOLF	52	2	22549	The wombat breaks the grip of The wolf's teeth on the wombat's lower body.
20260917-195259	migrants_now_lever	1	23518	829918	161	WOLF	53	2	22552	The wolf bites the wombat in the left rear paw, tearing the fat!
20260917-195259	migrants_now_lever	1	23518	829918	161	WOLF	54	2	22554	The wombat attacks the wolf but He jumps away!
20260917-195259	migrants_now_lever	1	23518	829918	161	WOLF	55	2	22565	The wombat misses the wolf!
20260917-195259	migrants_now_lever	1	23518	829918	161	WOLF	56	2	22565	The wolf misses the wombat!
20260917-195259	migrants_now_lever	1	23518	829918	161	WOLF	57	2	22572	The wombat attacks the wolf but He jumps away!
20260917-195259	migrants_now_lever	1	23518	829918	161	WOLF	58	2	22575	The wolf bites the wombat in the lower body, tearing the fat and bruising the muscle!
20260917-195259	migrants_now_lever	1	23518	829918	161	WOLF	59	2	22575	The wolf latches on firmly!
20260917-195259	migrants_now_lever	1	23518	829918	161	WOLF	60	2	22579	The wombat bites the wolf in the upper body, tearing the fat!
20260917-195259	migrants_now_lever	1	23518	829918	161	WOLF	61	2	22582	The wolf bites the wombat in the lower body, tearing the fat!
20260917-195259	migrants_now_lever	1	23518	829918	161	WOLF	62	2	22584	The wolf charges at the wombat!
20260917-195259	migrants_now_lever	1	23518	829918	161	WOLF	63	2	22584	The wolf collides with the wombat!
20260917-195259	migrants_now_lever	1	23518	829918	161	WOLF	64	2	22584	The wombat is knocked over!
20260917-195259	migrants_now_lever	1	23518	829918	161	WOLF	65	2	22586	The wombat bites the wolf in the upper body, tearing the fat!
20260917-195259	migrants_now_lever	1	23518	829918	161	WOLF	66	2	22587	The wolf shakes the wombat around by the lower body, tearing apart the lower body's skin and tearing apart the lower spine's nervous tissue!
20260917-195259	migrants_now_lever	1	23518	829918	161	WOLF	67	2	22587	A tendon in the lower spine has been torn!
20260917-195259	migrants_now_lever	1	23518	829918	161	WOLF	68	2	22589	The wolf shakes the wombat around by the lower body, tearing apart the lower body's skin and tearing apart the lower spine's nervous tissue!
20260917-195259	migrants_now_lever	1	23518	829918	161	WOLF	69	2	22589	A tendon in the lower spine has been torn!
20260917-195259	migrants_now_lever	1	23518	829918	161	WOLF	70	2	22593	The wombat attacks the wolf but He jumps away!
20260917-195259	migrants_now_lever	1	23518	829918	161	WOLF	71	2	22600	The wombat misses the wolf!
20260917-195259	migrants_now_lever	1	23518	829918	162	WOLF	14	2	21916	The wolf misses the wombat!
20260917-195259	migrants_now_lever	1	23518	829918	162	WOLF	18	2	21984	The wolf stands up.
20260917-195259	migrants_now_lever	1	23518	829918	163	WOLF	2	2	21890	The wolf attacks the wombat but He jumps away!
20260917-195259	migrants_now_lever	1	23518	829918	163	WOLF	15	2	21918	The wolf attacks the wombat but He jumps away!
20260917-195259	migrants_now_lever	1	23518	829918	165	WOLF	8	2	21899	The wolf misses the wombat!
20260917-195259	migrants_now_lever	1	23518	829918	165	WOLF	11	2	21904	The wolf attacks the wombat but He jumps away!
20260917-195259	migrants_now_lever	1	23518	829918	165	WOLF	20	2	22005	The wolf stands up.
20260917-195259	migrants_now_lever	1	23518	829918	166	WOLF	9	2	21900	The wolf misses the wombat!
20260917-195259	migrants_now_lever	1	23518	829918	166	WOLF	13	2	21912	The wolf bites the wombat in the left front paw, tearing the skin!
20260917-195259	migrants_now_lever	1	23518	829918	166	WOLF	19	2	22001	The wolf stands up.
20260917-195259	migrants_now_lever	1	23518	829918	167	WOLF	5	2	21893	The wolf misses the wombat!
20260917-195259	migrants_now_lever	1	23518	829918	167	WOLF	16	2	21928	The wolf stands up.
20260917-195259	migrants_now_lever	1	23518	829918	168	WOLF	3	2	21890	The wolf misses the wombat!
20260917-195259	migrants_now_lever	1	23518	829918	168	WOLF	6	2	21894	The wolf misses the wombat!
20260917-195259	migrants_now_lever	1	23518	829918	168	WOLF	10	2	21901	The wolf bites the wombat in the left rear leg, tearing the fat!
20260917-195259	migrants_now_lever	1	23518	829918	168	WOLF	12	2	21907	The wolf attacks the wombat but He jumps away!
20260917-195259	migrants_now_lever	1	23518	829918	168	WOLF	17	2	21936	The wolf misses the wombat!
20260917-195259	migrants_now_lever	1	23518	829918	168	WOLF	22	2	22112	The wolf stands up.
20260917-195259	migrants_now_lever	1	25193	831593	139	WOMBAT	73	2	23525	The wolf bites the wombat in the left front leg, tearing the skin!
