run	arm	rep	tick	abs_tick	unit	species	report	year	time	text
20260917-194051	caravan_depot_lever	1	19984	826384	170	WOLF	7	2	19310	The speardwarf misses the wolf!
20260917-194051	caravan_depot_lever	1	19984	826384	170	WOLF	8	2	19311	The wolf misses the speardwarf!
20260917-194051	caravan_depot_lever	1	19984	826384	170	WOLF	9	2	19317	The speardwarf stabs the wolf in the head with his ({-copper spear-}), tearing the muscle, fracturing the skull!
20260917-194051	caravan_depot_lever	1	19984	826384	170	WOLF	10	2	19317	A tendon in the skull has been torn!
20260917-194051	caravan_depot_lever	1	19984	826384	170	WOLF	11	2	19317	The wolf has been knocked unconscious!
20260917-194051	caravan_depot_lever	1	19984	826384	170	WOLF	12	2	19317	The force twists the neck, tearing apart the muscle and tearing apart the upper spine's nervous tissue!
20260917-194051	caravan_depot_lever	1	19984	826384	170	WOLF	13	2	19317	An artery has been opened by the attack!
20260917-194051	caravan_depot_lever	1	19984	826384	170	WOLF	14	2	19317	A tendon in the upper spine has been torn!
20260917-194051	caravan_depot_lever	1	19984	826384	170	WOLF	15	2	19318	The wolf falls over.
20260917-194051	caravan_depot_lever	1	19984	826384	170	WOLF	16	2	19323	The speardwarf stabs the wolf in the head with his ({-copper spear-}) and the severed part sails off in an arc!
20260917-194051	caravan_depot_lever	1	23152	829552	151	PORCUPINE	21	2	21598	The wolf attacks the porcupine but He jumps away!
20260917-194051	caravan_depot_lever	1	23152	829552	151	PORCUPINE	22	2	21603	The wolf misses the porcupine!
20260917-194051	caravan_depot_lever	1	23152	829552	151	PORCUPINE	23	2	21604	The wolf charges at the porcupine!
20260917-194051	caravan_depot_lever	1	23152	829552	151	PORCUPINE	24	2	21604	The wolf collides with the porcupine!
20260917-194051	caravan_depot_lever	1	23152	829552	151	PORCUPINE	25	2	21604	The porcupine is knocked over and tumbles backward!
20260917-194051	caravan_depot_lever	1	23152	829552	151	PORCUPINE	26	2	21606	The porcupine stands up.
20260917-194051	caravan_depot_lever	1	23152	829552	151	PORCUPINE	27	2	21606	The wolf misses the porcupine!
20260917-194051	caravan_depot_lever	1	23152	829552	151	PORCUPINE	33	2	21615	The wolf misses the porcupine!
20260917-194051	caravan_depot_lever	1	23152	829552	172	WOLF	22	2	21603	The wolf misses the porcupine!
20260917-194051	caravan_depot_lever	1	23152	829552	172	WOLF	23	2	21604	The wolf charges at the porcupine!
20260917-194051	caravan_depot_lever	1	23152	829552	172	WOLF	24	2	21604	The wolf collides with the porcupine!
20260917-194051	caravan_depot_lever	1	23152	829552	172	WOLF	25	2	21604	The porcupine is knocked over and tumbles backward!
20260917-194051	caravan_depot_lever	1	23152	829552	172	WOLF	27	2	21606	The wolf misses the porcupine!
20260917-194051	caravan_depot_lever	1	23152	829552	172	WOLF	28	2	21606	The wolf charges at the wolf!
20260917-194051	caravan_depot_lever	1	23152	829552	172	WOLF	29	2	21606	The wolf collides with the wolf!
20260917-194051	caravan_depot_lever	1	23152	829552	172	WOLF	30	2	21606	The wolf is knocked over!
20260917-194051	caravan_depot_lever	1	23152	829552	172	WOLF	31	2	21608	The wolf stands up.
20260917-194051	caravan_depot_lever	1	23152	829552	173	WOLF	18	2	21596	The wolf charges at the wolf!
20260917-194051	caravan_depot_lever	1	23152	829552	173	WOLF	19	2	21596	The wolf collides with the wolf!
20260917-194051	caravan_depot_lever	1	23152	829552	173	WOLF	20	2	21596	The wolf is knocked over!
20260917-194051	caravan_depot_lever	1	23152	829552	173	WOLF	28	2	21606	The wolf charges at the wolf!
20260917-194051	caravan_depot_lever	1	23152	829552	173	WOLF	29	2	21606	The wolf collides with the wolf!
20260917-194051	caravan_depot_lever	1	23152	829552	173	WOLF	30	2	21606	The wolf is knocked over!
20260917-194051	caravan_depot_lever	1	23152	829552	173	WOLF	35	2	21692	The wolf stands up.
20260917-194051	caravan_depot_lever	1	23152	829552	174	WOLF	18	2	21596	The wolf charges at the wolf!
20260917-194051	caravan_depot_lever	1	23152	829552	174	WOLF	19	2	21596	The wolf collides with the wolf!
20260917-194051	caravan_depot_lever	1	23152	829552	174	WOLF	20	2	21596	The wolf is knocked over!
20260917-194051	caravan_depot_lever	1	23152	829552	174	WOLF	21	2	21598	The wolf attacks the porcupine but He jumps away!
20260917-194051	caravan_depot_lever	1	23152	829552	174	WOLF	32	2	21615	The wolf stands up.
20260917-194051	caravan_depot_lever	1	23152	829552	175	WOLF	33	2	21615	The wolf misses the porcupine!
20260917-194051	caravan_depot_lever	1	23152	829552	175	WOLF	34	2	21643	The wolf stands up.
20260917-194051	caravan_depot_lever	1	24834	831234	151	PORCUPINE	36	2	23158	The wolf attacks the porcupine but He jumps away!
20260917-194051	caravan_depot_lever	1	24834	831234	151	PORCUPINE	37	2	23159	The wolf misses the porcupine!
20260917-194051	caravan_depot_lever	1	24834	831234	151	PORCUPINE	38	2	23159	The wolf misses the porcupine!
20260917-194051	caravan_depot_lever	1	24834	831234	151	PORCUPINE	39	2	23160	The wolf misses the porcupine!
